Seq_number	New_name	Date_collected	Project	Site	Bio_rep	Tech_rep	Location	Replicate	Control_Type	Sample_Control	MPA	Mean_depth	kelp_a_MeanDensity_sqm	kelp_j_MeanDensity_sqm	Sarg_a_MeanDensity_sqm	Sarg_j_MeanDensity_sqm	Algae_Mean_avg	k	Replicate_per_site	Replicate_per_location	k_location
T1.A.S34.L001	T1.A	2017-09-06	Taylor	T1	A	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T1.B.S35.L001	T1.B	2017-09-06	Taylor	T1	B	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T1.C.S36.L001	T1.C	2017-09-06	Taylor	T1	C	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2.A.S37.L001	T2.A	2017-09-06	Taylor	T02	A	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2.B.S38.L001	T2.B	2017-09-06	Taylor	T02	B	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2.C.S39.L001	T2.C	2017-09-06	Taylor	T02	C	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T3.A.S40.L001	T3.A	2017-09-06	Taylor	T03	A	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T3.B.S41.L001	T3.B	2017-09-06	Taylor	T03	B	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T3.C.S42.L001	T3.C	2017-09-06	Taylor	T03	C	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T4.A.S43.L001	T4.A	2017-09-06	Taylor	T04	A	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T4.B.S44.L001	T4.B	2017-09-06	Taylor	T04	B	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T4.C.S45.L001	T4.C	2017-09-06	Taylor	T04	C	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T5.A.S46.L001	T5.A	2017-09-06	Taylor	T05	A	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T5.B.S47.L001	T5.B	2017-09-06	Taylor	T05	B	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T5.C.S48.L001	T5.C	2017-09-06	Taylor	T05	C	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T6.A.S49.L001	T6.A	2017-09-06	Taylor	T06	A	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T6.B.S50.L001	T6.B	2017-09-06	Taylor	T06	B	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T6.C.S51.L001	T6.C	2017-09-06	Taylor	T06	C	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T7.A.S52.L001	T7.A	2017-09-06	Taylor	T07	A	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T7.B.S53.L001	T7.B	2017-09-06	Taylor	T07	B	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T7.C.S54.L001	T7.C	2017-09-06	Taylor	T07	C	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T8.A.S55.L001	T8.A	2017-09-06	Taylor	T08	A	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T8.B.S56.L001	T8.B	2017-09-06	Taylor	T08	B	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T8.C.S57.L001	T8.C	2017-09-06	Taylor	T08	C	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T9.A.S58.L001	T9.A	2017-09-07	Taylor	T09	A	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T9.B.S59.L001	T9.B	2017-09-07	Taylor	T09	B	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T9.C.S60.L001	T9.C	2017-09-07	Taylor	T09	C	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
